Date,Forecasted_Transactions,Forecasted_Visitors
2020-01-02,737.0746516670084,739.4557878409381
2020-01-03,737.0401088054708,740.3717638843308
2020-01-04,740.4996608996212,740.9844402449814
2020-01-05,734.6675200485258,735.7267681155597
2020-01-06,739.5133900235378,742.0336647228912
2020-01-07,730.2797470834887,749.0688767191276
2020-01-08,727.9507091497724,743.4695059635817
2020-01-09,736.87539294629,751.9810586919422
2020-01-10,738.8369026265952,752.8970347353347
2020-01-11,737.536027675585,753.5097110959854
2020-01-12,734.5034571020997,748.2520389665636
2020-01-13,740.0737899926331,754.5589355738952
2020-01-14,740.8766534501403,761.5941475701316
2020-01-15,740.5484349906034,755.9947768145856
2020-01-16,746.5073316620548,764.5063295429461
2020-01-17,748.3589088744403,765.4223055863387
2020-01-18,747.3202141428663,766.0349819469893
2020-01-19,744.1334574128141,760.7773098175677
2020-01-20,749.663890553942,767.0842064248991
2020-01-21,749.9139940542606,774.1194184211355
2020-01-22,749.4755805883059,768.5200476655897
2020-01-23,755.5978177987203,777.03160039395
2020-01-24,757.4554495348468,777.9475764373426
2020-01-25,756.4023152442139,778.5602527979934
2020-01-26,753.2240503070153,773.3025806685716
2020-01-27,758.7566809243266,779.609477275903
2020-01-28,759.0372276444436,786.6446892721395
2020-01-29,758.6048831615212,781.0453185165936
2020-01-30,764.7181244020485,789.556871244954
2020-01-31,766.5754226856617,790.4728472883467
